lncRNA,Drug,DrugBank_ID
AC005037.3,Panobinostat,DB06603
AC005041.9,Panobinostat,DB06603
AC005042.4,Panobinostat,DB06603
AC005042.5,Panobinostat,DB06603
AC005062.2,Panobinostat,DB06603
AC005076.5,Panobinostat,DB06603
AC005077.12,Panobinostat,DB06603
AC005083.1,Panobinostat,DB06603
AC005083.1,Panobinostat,DB06603
AC005154.6,Panobinostat,DB06603
AC005154.6,Panobinostat,DB06603
AC005519.4,Panobinostat,DB06603
AC005534.8,Dexamethasone,DB01234
AC005534.9,Panobinostat,DB06603
AC005537.2,Panobinostat,DB06603
AC005540.3,Panobinostat,DB06603
AC005592.1,Panobinostat,DB06603
AC005592.2,Panobinostat,DB06603
AC005606.15,Panobinostat,DB06603
AC005618.6,Oxaliplatin,DB00526
AC005682.5,Panobinostat,DB06603
AC005682.5,Oxaliplatin,DB00526
AC005682.8-001,5alpha-Hydroxytriptolide,
AC005863.2,Panobinostat,DB06603
AC005971.3,Panobinostat,DB06603
AC006003.3,Panobinostat,DB06603
AC006004.1,Panobinostat,DB06603
AC006028.9,Panobinostat,DB06603
AC006050.3,Panobinostat,DB06603
AC006129.1,Oxaliplatin,DB00526
AC006159.4,Panobinostat,DB06603
AC006159.5,Panobinostat,DB06603
AC006160.5,Panobinostat,DB06603
AC006160.5,Dexamethasone,DB01234
AC006227.1,Panobinostat,DB06603
AC006262.5,Oxaliplatin,DB00526
AC006277.2,Panobinostat,DB06603
AC006296.1,Panobinostat,DB06603
AC006372.4,Panobinostat,DB06603
AC006445.8,Panobinostat,DB06603
AC006481.1,Panobinostat,DB06603
AC006552.1,Panobinostat,DB06603
AC007092.1,Panobinostat,DB06603
AC007128.1,Panobinostat,DB06603
AC007128.1,Pravastatin,DB00175
AC007246.3,Panobinostat,DB06603
AC007246.3,Panobinostat,DB06603
AC007249.3,Panobinostat,DB06603
AC007254.3,Panobinostat,DB06603
AC007271.3,Panobinostat,DB06603
AC007278.2,Panobinostat,DB06603
AC007285.6,Dexamethasone,DB01234
AC007317.1,Panobinostat,DB06603
AC007365.1,Panobinostat,DB06603
AC007383.3,Panobinostat,DB06603
AC007383.4,Panobinostat,DB06603
AC007392.3,Panobinostat,DB06603
AC007392.3,Panobinostat,DB06603
AC007403.2,Panobinostat,DB06603
AC007405.8,Panobinostat,DB06603
AC007682.1,Panobinostat,DB06603
AC007879.4,Panobinostat,DB06603
AC007879.5,Panobinostat,DB06603
AC007879.7,Panobinostat,DB06603
AC007952.4,Panobinostat,DB06603
AC008060.8,Panobinostat,DB06603
AC008073.7,Panobinostat,DB06603
AC008088.4,Panobinostat,DB06603
AC008154.5,Panobinostat,DB06603
AC008175.10,Berberine,DB04115
AC008440.10,Panobinostat,DB06603
AC008691.1,Panobinostat,DB06603
AC008834.1,Panobinostat,DB06603
AC008888.7,Panobinostat,DB06603
AC008993.2,Oxaliplatin,DB00526
AC009120.4,Panobinostat,DB06603
AC009120.6,Panobinostat,DB06603
AC009133.14,Panobinostat,DB06603
AC009133.20-001,5alpha-Hydroxytriptolide,
AC009166.5,Panobinostat,DB06603
AC009228.1,Panobinostat,DB06603
AC009229.5,Panobinostat,DB06603
AC009236.1,Panobinostat,DB06603
AC009236.2,Panobinostat,DB06603
AC009505.2,Pravastatin,DB00175
AC009505.4,Panobinostat,DB06603
AC009506.1,Panobinostat,DB06603
AC009948.5,Panobinostat,DB06603
AC009948.5,Pravastatin,DB00175
AC009961.3,Oxaliplatin,DB00526
AC010090.1,Panobinostat,DB06603
AC010136.2,Panobinostat,DB06603
AC010226.4,Panobinostat,DB06603
AC010468.2,Panobinostat,DB06603
AC010525.4,Calycosin,
AC010525.4,Calycosin,
AC010729.1,Panobinostat,DB06603
AC010745.2,Panobinostat,DB06603
AC010761.13,Panobinostat,DB06603
AC010880.1,Panobinostat,DB06603
AC010884.1,Panobinostat,DB06603
AC010890.1,Panobinostat,DB06603
AC010894.5,Panobinostat,DB06603
AC010907.2,Panobinostat,DB06603
AC010974.3,Panobinostat,DB06603
AC010980.2,Panobinostat,DB06603
AC011288.2,Oxaliplatin,DB00526
AC011290.4,Panobinostat,DB06603
AC011330.12,Panobinostat,DB06603
AC011648.1,Panobinostat,DB06603
AC011747.4,Oxaliplatin,DB00526
AC012074.2,Dexamethasone,DB01234
AC012146.7,Panobinostat,DB06603
AC012307.3,Panobinostat,DB06603
AC012322.1,Panobinostat,DB06603
AC012354.6,Panobinostat,DB06603
AC012456.4,Panobinostat,DB06603
AC012456.4,Dexamethasone,DB01234
AC012501.2,Panobinostat,DB06603
AC013402.5,Panobinostat,DB06603
AC013463.2,Oxaliplatin,DB00526
AC013733.3,Panobinostat,DB06603
AC013733.4,Panobinostat,DB06603
AC015818.3,Panobinostat,DB06603
AC015818.3,Panobinostat,DB06603
AC015849.16,Oxaliplatin,DB00526
AC016629.3,Oxaliplatin,DB00526
AC016683.6,Panobinostat,DB06603
AC016735.2,Panobinostat,DB06603
AC016747.3,Panobinostat,DB06603
AC016768.1,Panobinostat,DB06603
AC016831.7,Panobinostat,DB06603
AC016903.1,Panobinostat,DB06603
AC016907.3,Panobinostat,DB06603
AC016995.3,Panobinostat,DB06603
AC017048.1,Panobinostat,DB06603
AC017048.4,Panobinostat,DB06603
AC017074.2,Oxaliplatin,DB00526
AC017076.4,Panobinostat,DB06603
AC017076.5,Panobinostat,DB06603
AC017096.1,Panobinostat,DB06603
AC017099.3,Panobinostat,DB06603
AC017104.6,Panobinostat,DB06603
AC017116.11,Panobinostat,DB06603
AC017116.8,Panobinostat,DB06603
AC018464.3,Panobinostat,DB06603
AC018642.1,Pravastatin,DB00175
AC018647.3,Panobinostat,DB06603
AC018731.3,Panobinostat,DB06603
AC018737.1,Panobinostat,DB06603
AC018816.4,Panobinostat,DB06603
AC018816.4,Pravastatin,DB00175
AC018865.8,Panobinostat,DB06603
AC019064.1,Panobinostat,DB06603
AC019117.1,Panobinostat,DB06603
AC019330.1,Dexamethasone,DB01234
AC020594.5,Panobinostat,DB06603
AC021224.1,Panobinostat,DB06603
AC021224.1,Pravastatin,DB00175
AC022182.1,Panobinostat,DB06603
AC022311.1,Panobinostat,DB06603
AC022486.1,Berberine,DB04115
AC022596.2,Panobinostat,DB06603
AC023137.2,Panobinostat,DB06603
AC023469.2,Calycosin,
AC023469.2,Calycosin,
AC023797.1,Panobinostat,DB06603
AC024028.1,Pravastatin,DB00175
AC024132.1,Panobinostat,DB06603
AC024132.1,Dexamethasone,DB01234
AC024560.3,Panobinostat,DB06603
AC025627.9,Panobinostat,DB06603
AC026150.8,Panobinostat,DB06603
AC026150.8,Oxaliplatin,DB00526
AC026188.1,Ruxolitinib,DB08877
AC026806.2-001,5alpha-Hydroxytriptolide,
AC034110.1,Pravastatin,DB00175
AC034193.5,Panobinostat,DB06603
AC046143.3,Panobinostat,DB06603
AC046143.3,Dexamethasone,DB01234
AC046143.7,Panobinostat,DB06603
AC051649.12,Panobinostat,DB06603
AC053503.4,Panobinostat,DB06603
AC053503.6,Panobinostat,DB06603
AC058791.1,Panobinostat,DB06603
AC058791.1,Panobinostat,DB06603
AC058791.2,Panobinostat,DB06603
AC063976.6,Panobinostat,DB06603
AC064875.2,Panobinostat,DB06603
AC067945.4,Panobinostat,DB06603
AC068039.4,Panobinostat,DB06603
AC068057.1,Panobinostat,DB06603
AC068483.1,Panobinostat,DB06603
AC068535.4,Panobinostat,DB06603
AC068831.10,Panobinostat,DB06603
AC068831.10,Panobinostat,DB06603
AC069155.1,Panobinostat,DB06603
AC069277.2,Panobinostat,DB06603
AC069277.2,Pravastatin,DB00175
AC069513.4,Panobinostat,DB06603
AC072062.1,Panobinostat,DB06603
AC073043.1,Oxaliplatin,DB00526
AC073115.6,Panobinostat,DB06603
AC073115.7,Panobinostat,DB06603
AC073130.1,Panobinostat,DB06603
AC073135.3,Panobinostat,DB06603
AC073257.2,Panobinostat,DB06603
AC073283.4,Panobinostat,DB06603
AC073283.4,Ruxolitinib,DB08877
AC073316.1,Panobinostat,DB06603
AC073316.1,Beta-Elemene,
AC073325.1,Panobinostat,DB06603
AC073333.8,Panobinostat,DB06603
AC073343.13,Panobinostat,DB06603
AC073636.1,Panobinostat,DB06603
AC073641.2,Panobinostat,DB06603
AC073641.2-001,5alpha-Hydroxytriptolide,
AC073842.19,Panobinostat,DB06603
AC073928.2,Panobinostat,DB06603
AC074289.1,Panobinostat,DB06603
AC074389.7,Panobinostat,DB06603
AC074391.1,Panobinostat,DB06603
AC078852.2,Panobinostat,DB06603
AC078941.1,Panobinostat,DB06603
AC079145.4,Panobinostat,DB06603
AC079154.1,Panobinostat,DB06603
AC079305.10,Panobinostat,DB06603
AC079466.1,Oxaliplatin,DB00526
AC079742.4,Panobinostat,DB06603
AC079767.2,Panobinostat,DB06603
AC079776.7,Panobinostat,DB06603
AC079807.2,Panobinostat,DB06603
AC083867.4,Panobinostat,DB06603
AC084082.3,Panobinostat,DB06603
AC084082.3,Oxaliplatin,DB00526
AC084809.2,Pravastatin,DB00175
AC087294.2,Panobinostat,DB06603
AC087859.1,Panobinostat,DB06603
AC087886.1,Panobinostat,DB06603
AC090286.2,Panobinostat,DB06603
AC090421.1,Panobinostat,DB06603
AC090587.5,Dexamethasone,DB01234
AC090957.2,Panobinostat,DB06603
AC091633.3,Panobinostat,DB06603
AC091729.7,Pravastatin,DB00175
AC092168.4,Panobinostat,DB06603
AC092198.1,Panobinostat,DB06603
AC092295.4,Panobinostat,DB06603
AC092296.1,Panobinostat,DB06603
AC092415.1,Panobinostat,DB06603
AC092580.4,Panobinostat,DB06603
AC092580.4,Cisplatin,DB00515
AC092594.1,Panobinostat,DB06603
AC092614.2,Panobinostat,DB06603
AC092620.2,Panobinostat,DB06603
AC092620.2,Panobinostat,DB06603
AC092635.1,Panobinostat,DB06603
AC092652.1,Panobinostat,DB06603
AC092661.1,Panobinostat,DB06603
AC092661.1,Pravastatin,DB00175
AC092839.3,Panobinostat,DB06603
AC093063.1,Panobinostat,DB06603
AC093323.3,Panobinostat,DB06603
AC093391.2,Panobinostat,DB06603
AC093391.2,Panobinostat,DB06603
AC093495.4,Pravastatin,DB00175
AC093590.1,Panobinostat,DB06603
AC093627.10,Panobinostat,DB06603
AC093627.6,Panobinostat,DB06603
AC093627.9,Panobinostat,DB06603
AC093642.3,Panobinostat,DB06603
AC093642.3,Panobinostat,DB06603
AC093642.5,Panobinostat,DB06603
AC093662.5,Panobinostat,DB06603
AC093818.1,Panobinostat,DB06603
AC093818.1,Panobinostat,DB06603
AC093850.2,Beta-Elemene,
AC093911.1,Panobinostat,DB06603
AC096554.1,Dexamethasone,DB01234
AC096559.1,Panobinostat,DB06603
AC096579.13,Panobinostat,DB06603
AC096655.1,Panobinostat,DB06603
AC097467.2,Oxaliplatin,DB00526
AC097517.2,Panobinostat,DB06603
AC097662.2,Panobinostat,DB06603
AC097662.2,Panobinostat,DB06603
AC098820.2,Panobinostat,DB06603
AC098820.4,Panobinostat,DB06603
AC098973.2,Panobinostat,DB06603
AC100830.4,Panobinostat,DB06603
AC102953.4,Panobinostat,DB06603
AC103828.1,Panobinostat,DB06603
AC104134.2,Panobinostat,DB06603
AC104623.2,Panobinostat,DB06603
AC104655.3,Panobinostat,DB06603
AC105461.1,Panobinostat,DB06603
AC106706.1,Panobinostat,DB06603
AC107057.2,Panobinostat,DB06603
AC107070.1,Panobinostat,DB06603
AC108004.2,Panobinostat,DB06603
AC108025.2,Panobinostat,DB06603
AC108051.1,Panobinostat,DB06603
AC108058.1,Panobinostat,DB06603
AC108142.1,Panobinostat,DB06603
AC108449.2,Panobinostat,DB06603
AC108868.5,Calycosin,
AC108868.5,Calycosin,
AC109586.1,Panobinostat,DB06603
AC109589.1,Panobinostat,DB06603
AC112721.2,Panobinostat,DB06603
AC113167.2,Panobinostat,DB06603
AC113189.5,Panobinostat,DB06603
AC113610.1,Panobinostat,DB06603
AC114808.2,Panobinostat,DB06603
AC114808.3,Panobinostat,DB06603
AC114812.8,Oxaliplatin,DB00526
AC116035.2,Panobinostat,DB06603
AC116366.5,Pravastatin,DB00175
AC118138.2,Panobinostat,DB06603
AC118754.4,Panobinostat,DB06603
AC121336.2,Panobinostat,DB06603
AC124789.1,Panobinostat,DB06603
AC124944.5,Panobinostat,DB06603
AC127904.2,Panobinostat,DB06603
AC129778.2,Panobinostat,DB06603
AC129929.5,Panobinostat,DB06603
AC131097.3,Panobinostat,DB06603
AC131180.4,Panobinostat,DB06603
AC133785.1,Panobinostat,DB06603
AC135966.1,Panobinostat,DB06603
AC137932.5,Panobinostat,DB06603
AC137934.1,Panobinostat,DB06603
AC138655.4,Panobinostat,DB06603
AC139099.4,Panobinostat,DB06603
AC139099.5,Panobinostat,DB06603
AC139099.6,Panobinostat,DB06603
AC140481.1,Panobinostat,DB06603
AC140481.7,Panobinostat,DB06603
AC140912.1,Panobinostat,DB06603
AC142293.3,Panobinostat,DB06603
AC144450.1,Panobinostat,DB06603
AC144521.1,Panobinostat,DB06603
AC144652.1,Oxaliplatin,DB00526
AC144831.1,Ruxolitinib,DB08877
AC144831.3,Ruxolitinib,DB08877
AC145124.2,Panobinostat,DB06603
AC145343.2,Dexamethasone,DB01234
AC156455.1,Panobinostat,DB06603
AC226119.4,Panobinostat,DB06603
ACSF3,Panobinostat,DB06603
ACTN1-218,Tetraarsenic Oxide,
ADAM15,Panobinostat,DB06603
ADAM20P1,Panobinostat,DB06603
ADAM3A,Panobinostat,DB06603
ADAM5P,Panobinostat,DB06603
ADAM9,Panobinostat,DB06603
ADAMTS13,Panobinostat,DB06603
ADAMTS9-AS1,Panobinostat,DB06603
ADARB1-207,Tetraarsenic Oxide,
ADARB2-204,Tetraarsenic Oxide,
ADIRF-AS1,Oxaliplatin,DB00526
AF003626.1,Panobinostat,DB06603
AF015262.2,Panobinostat,DB06603
AF063596,Panobinostat,DB06603
AF064858.7,Panobinostat,DB06603
AF067845.1,Panobinostat,DB06603
AF079515,Panobinostat,DB06603
AF086476,Panobinostat,DB06603
AF090939,Panobinostat,DB06603
AF131215.3,Panobinostat,DB06603
AF131216.6,Oxaliplatin,DB00526
AF131217.1,Ruxolitinib,DB08877
AF146191.4,Panobinostat,DB06603
AF146191.4,Pravastatin,DB00175
AF157115,Panobinostat,DB06603
AF186192.5,Panobinostat,DB06603
AF186192.5,Panobinostat,DB06603
AF213884.2,Panobinostat,DB06603
AF216583,Dexamethasone,DB01234
AF268386,Panobinostat,DB06603
AF289551,Panobinostat,DB06603
AF339817,Panobinostat,DB06603
AF401214,Panobinostat,DB06603
AF520792,Panobinostat,DB06603
AF520793,Panobinostat,DB06603
AF520793,Dexamethasone,DB01234
AFAP1-AS1,Oridonin,
AFAP1-AS1,Yk-4-279,
AFAP1-AS1,Enzalutamide,DB08899
AFDN-DT,Decitabine,DB01262
AFG3L1P,Panobinostat,DB06603
AFMID,Panobinostat,DB06603
AGA,Panobinostat,DB06603
AGAP2-AS1,Berberine,DB04115
AGSK1,Panobinostat,DB06603
AHCYP4,Ginsenoside Rg3,
AJ003147.8,Panobinostat,DB06603
AJ004954,Panobinostat,DB06603
AJ006998.2,Dexamethasone,DB01234
AJ420595,Panobinostat,DB06603
AK000798,Panobinostat,DB06603
AK000872,Panobinostat,DB06603
AK021570,Dexamethasone,DB01234
AK021664,Panobinostat,DB06603
AK021804,Dexamethasone,DB01234
AK021933,Panobinostat,DB06603
AK021977,Dexamethasone,DB01234
AK022030,Panobinostat,DB06603
AK022898,Panobinostat,DB06603
AK023304,Panobinostat,DB06603
AK023809,Panobinostat,DB06603
AK025288,Panobinostat,DB06603
AK025793,Panobinostat,DB06603
AK026101,Panobinostat,DB06603
AK026379,Panobinostat,DB06603
AK026905,Panobinostat,DB06603
AK027091,Panobinostat,DB06603
AK027145,Panobinostat,DB06603
AK054710,Panobinostat,DB06603
AK054837,Panobinostat,DB06603
AK054972,Panobinostat,DB06603
AK054990,Panobinostat,DB06603
AK055017,Panobinostat,DB06603
AK055323,Dexamethasone,DB01234
AK055386,Panobinostat,DB06603
AK055550,Panobinostat,DB06603
AK055849,Panobinostat,DB06603
AK055856,Panobinostat,DB06603
AK055910,Panobinostat,DB06603
AK056081,Panobinostat,DB06603
AK056098,Curcumin,DB11672
AK056098,Curcumin,DB11672
AK056098,Panobinostat,DB06603
AK056246,Dexamethasone,DB01234
AK056431,Panobinostat,DB06603
AK056689,Panobinostat,DB06603
AK057177,Panobinostat,DB06603
AK057187,Panobinostat,DB06603
AK057978,Panobinostat,DB06603
AK090553,Panobinostat,DB06603
AK090904,Panobinostat,DB06603
AK091265,Panobinostat,DB06603
AK091729,Panobinostat,DB06603
AK093002,Panobinostat,DB06603
AK093114,Panobinostat,DB06603
AK093214,Panobinostat,DB06603
AK093279,Panobinostat,DB06603
AK093356,Panobinostat,DB06603
AK093416,Dexamethasone,DB01234
AK093519,Panobinostat,DB06603
AK093600,Panobinostat,DB06603
AK094117,Panobinostat,DB06603
AK094156,Panobinostat,DB06603
AK094561,Panobinostat,DB06603
AK094859,Panobinostat,DB06603
AK095045,Panobinostat,DB06603
AK095117,Panobinostat,DB06603
AK095546,Panobinostat,DB06603
AK096622,Panobinostat,DB06603
AK096668,Panobinostat,DB06603
AK096987,Panobinostat,DB06603
AK097625,Panobinostat,DB06603
AK097759,Panobinostat,DB06603
AK097787,Panobinostat,DB06603
AK097803,Panobinostat,DB06603
AK098560,Panobinostat,DB06603
AK123067,Panobinostat,DB06603
AK123141,Panobinostat,DB06603
AK123300,Panobinostat,DB06603
AK123834,Panobinostat,DB06603
AK124056,Dexamethasone,DB01234
AK124173,Panobinostat,DB06603
AK124179,Panobinostat,DB06603
AK125078,Panobinostat,DB06603
AK125078,Pravastatin,DB00175
AK125429,Panobinostat,DB06603
AK125463,Panobinostat,DB06603
AK125532,Panobinostat,DB06603
AK125699,Panobinostat,DB06603
AK126278,Panobinostat,DB06603
AK127026,Panobinostat,DB06603
AK127292,Panobinostat,DB06603
AK127339,Panobinostat,DB06603
AK128569,Panobinostat,DB06603
AK128734,Panobinostat,DB06603
AK129672,Panobinostat,DB06603
AK130400,Panobinostat,DB06603
AK131224,Panobinostat,DB06603
AK131520,Panobinostat,DB06603
AK131521,Panobinostat,DB06603
AK295617,Panobinostat,DB06603
AK299501,Panobinostat,DB06603
AK301968,Panobinostat,DB06603
AK303607,Panobinostat,DB06603
AK307246,Panobinostat,DB06603
AK308561,Panobinostat,DB06603
AK308704,Panobinostat,DB06603
AK308944,Panobinostat,DB06603
AK310094,Panobinostat,DB06603
AK311113,Panobinostat,DB06603
AK311167,Panobinostat,DB06603
AK313893,Panobinostat,DB06603
AKR1B10P1,Ginsenoside Rg3,
AL022341.3,Panobinostat,DB06603
AL022344.7,Panobinostat,DB06603
AL035610.1,Panobinostat,DB06603
AL078621.3,Panobinostat,DB06603
AL078621.4,Panobinostat,DB06603
AL110181,Panobinostat,DB06603
AL121578.2,Panobinostat,DB06603
AL121980.1,Panobinostat,DB06603
AL132709.1,Panobinostat,DB06603
AL132709.5,Panobinostat,DB06603
AL132709.8,Panobinostat,DB06603
AL133168.3,Panobinostat,DB06603
AL133492.3,Panobinostat,DB06603
AL133493.2,Panobinostat,DB06603
AL137655,Panobinostat,DB06603
AL137752,Panobinostat,DB06603
AL157359.3,Panobinostat,DB06603
AL163953.3,Oxaliplatin,DB00526
AL353997.3,Pravastatin,DB00175
AL353997.3,Pravastatin,DB00175
AL360260,Panobinostat,DB06603
AL390170,Panobinostat,DB06603
AL589743.2,Panobinostat,DB06603
AL589986.2,Panobinostat,DB06603
AL592284.1,Panobinostat,DB06603
AL773572.7,Panobinostat,DB06603
AL832163,Panobinostat,DB06603
AL832252,Panobinostat,DB06603
AL832439,Panobinostat,DB06603
AL832615,Dexamethasone,DB01234
AL833150,Panobinostat,DB06603
AL833181,Panobinostat,DB06603
AL928742.12,Panobinostat,DB06603
ALDH1L1-AS1,Panobinostat,DB06603
ALDH1L2,Panobinostat,DB06603
ALDH1L2,5alpha-Hydroxytriptolide,
ALOX12P2,Panobinostat,DB06603
Alpha_250_dna,Dexamethasone,DB01234
AMPD3-206,Tetraarsenic Oxide,
AMZ2P1,Panobinostat,DB06603
ANKFY1,Panobinostat,DB06603
ANKRD10-IT1,Panobinostat,DB06603
ANKRD18DP,Panobinostat,DB06603
ANKRD19P,Panobinostat,DB06603
ANKRD20A11P,Panobinostat,DB06603
ANKRD20A11P,Panobinostat,DB06603
ANKRD20A19P,Panobinostat,DB06603
ANKRD20A5P,Panobinostat,DB06603
ANKRD30BP2,Panobinostat,DB06603
ANKRD30BP2,Panobinostat,DB06603
ANKRD36B,Panobinostat,DB06603
ANKRD62P1,Panobinostat,DB06603
ANKRD62P1,Panobinostat,DB06603
ANKS3,Panobinostat,DB06603
ANO1-AS2,Cisplatin,DB00515
ANP32A-IT1,Panobinostat,DB06603
ANP32BP1,Panobinostat,DB06603
ANP32C,Panobinostat,DB06603
ANRIL,Bleomycin,DB00290
ANRIL,Isodeoxyelephantopin,
ANRIL,Propofol,DB00818
ANRIL,Hydrogen Peroxide,DB11091
ANRIL,Epoxyazadiradione,
AOAH-IT1,Panobinostat,DB06603
AP000221.1,Panobinostat,DB06603
AP000288.2,Panobinostat,DB06603
AP000302.58,Panobinostat,DB06603
AP000344.3,Panobinostat,DB06603
AP000345.2,Panobinostat,DB06603
AP000431.2,Panobinostat,DB06603
AP000432.2,Panobinostat,DB06603
AP000439.3,Oxaliplatin,DB00526
AP000473.5,Panobinostat,DB06603
AP000476.1,Panobinostat,DB06603
AP000487.6,Panobinostat,DB06603
AP000569.2,Panobinostat,DB06603
AP000569.8,Panobinostat,DB06603
AP000593.7,Panobinostat,DB06603
AP000640.8,Panobinostat,DB06603
AP000692.9,Panobinostat,DB06603
AP000696.2,Panobinostat,DB06603
AP001258.4,Panobinostat,DB06603
AP001347.6,Panobinostat,DB06603
AP001468.58,Panobinostat,DB06603
AP001596.6,Cisplatin,DB00515
AP001628.7,Panobinostat,DB06603
AP002387.1,Panobinostat,DB06603
AP002856.7,Panobinostat,DB06603
AP003774.7,Panobinostat,DB06603
AP004372.1,Panobinostat,DB06603
AP006216.10,Panobinostat,DB06603
AP006216.10,Dexamethasone,DB01234
AP006222.2,Panobinostat,DB06603
AP006309.4,Panobinostat,DB06603
AP006547.3,Panobinostat,DB06603
AP006621.9,Olaparib,DB09074
APBB1,Panobinostat,DB06603
APLP2,Panobinostat,DB06603
ARF,Imatinib,DB00619
ARFRP1,Panobinostat,DB06603
ARHGAP33-202,Tetraarsenic Oxide,
ARHGAP5-AS1,Panobinostat,DB06603
ARHGEF26-AS1,Panobinostat,DB06603
ARID4B-IT1,Panobinostat,DB06603
ARMC2-AS1,Panobinostat,DB06603
ARMCX4,Panobinostat,DB06603
ARPC5-204,Tetraarsenic Oxide,
ARRB2-205,Tetraarsenic Oxide,
ARSR,Atorvastatin,DB01076
ASB16-AS1,Oxaliplatin,DB00526
ASB16-AS1,Tetraarsenic Oxide,
ASH2L,Panobinostat,DB06603
ASMTL-AS1,Panobinostat,DB06603
ATF3-209,Tetraarsenic Oxide,
ATP11A-AS1,Panobinostat,DB06603
ATP5SL,Panobinostat,DB06603
ATPBD4-AS1,Panobinostat,DB06603
ATXN1L,Panobinostat,DB06603
ATXN8OS,Ginsenoside Rg3,
AV30S1,Panobinostat,DB06603
AX721123,Panobinostat,DB06603
AX721193,Panobinostat,DB06603
AX721280,Panobinostat,DB06603
AX746478,Panobinostat,DB06603
AX746535,Panobinostat,DB06603
AX746564,Panobinostat,DB06603
AX746620,Panobinostat,DB06603
AX746677,Panobinostat,DB06603
AX746690,Panobinostat,DB06603
AX746710,Panobinostat,DB06603
AX746857,Panobinostat,DB06603
AX746871,Panobinostat,DB06603
AX746944,Panobinostat,DB06603
AX746995,Dexamethasone,DB01234
AX747064,Panobinostat,DB06603
AX747067,Dexamethasone,DB01234
AX747080,Panobinostat,DB06603
AX747158,Panobinostat,DB06603
AX747175,Panobinostat,DB06603
AX747197,Panobinostat,DB06603
AX747215,Panobinostat,DB06603
AX747372,Panobinostat,DB06603
AX747401,Panobinostat,DB06603
AX747415,Panobinostat,DB06603
AX747440,Panobinostat,DB06603
AX747544,Dexamethasone,DB01234
AX747639,Dexamethasone,DB01234
AX747730,Panobinostat,DB06603
AX747733,Panobinostat,DB06603
AX747752,Panobinostat,DB06603
AX747766,Panobinostat,DB06603
AX747826,Panobinostat,DB06603
AX747844,Panobinostat,DB06603
AX747981,Panobinostat,DB06603
AX748028,Panobinostat,DB06603
AX748036,Panobinostat,DB06603
AX748120,Panobinostat,DB06603
AX748181,Dexamethasone,DB01234
AX748200,Panobinostat,DB06603
AX748212,Panobinostat,DB06603
AX748233,Panobinostat,DB06603
AX748251,Dexamethasone,DB01234
AX748267,Panobinostat,DB06603
AX748268,Panobinostat,DB06603
AX748294,Panobinostat,DB06603
AX748345,Panobinostat,DB06603
AX748362,Panobinostat,DB06603
AX748379,Panobinostat,DB06603
AX748385,Panobinostat,DB06603
AY343891,Panobinostat,DB06603
AY343892,Panobinostat,DB06603
AY343902,Panobinostat,DB06603
AY927499,Panobinostat,DB06603
AY927613,Panobinostat,DB06603
AZGP1P1,Panobinostat,DB06603
